"",BBK01.QU4514,BBK01.QU4514_FLAGS
"",Foreign branches: Long-term liabilities to foreign banks / Austria / All currencies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:51,
1981-06,0.010,
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,0.013,
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,0.014,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,0.007,
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,0.004,
1982-07,0.005,
1982-08,0.005,
1982-09,0.002,
1982-10,0.004,
1982-11,0.005,
1982-12,0.005,
1983-01,0.005,
1983-02,0.005,
1983-03,0.004,
1983-04,0.024,
1983-05,0.006,
1983-06,0.017,
1983-07,0.017,
1983-08,0.019,
1983-09,0.017,
1983-10,0.017,
1983-11,0.017,
1983-12,0.020,
1984-01,0.026,
1984-02,0.025,
1984-03,0.024,
1984-04,0.025,
1984-05,0.025,
1984-06,0.011,
1984-07,0.011,
1984-08,0.011,
1984-09,0.011,
1984-10,0.011,
1984-11,0.011,
1984-12,0.010,
1985-01,0.007,
1985-02,0.007,
1985-03,0.007,
1985-04,0.015,
1985-05,0.015,
1985-06,0.015,
1985-07,0.013,
1985-08,0.013,
1985-09,0.013,
1985-10,0.013,
1985-11,0.013,
1985-12,0.013,
1986-01,0.012,
1986-02,0.012,
1986-03,0.013,
1986-04,0.005,
1986-05,0.005,
1986-06,0.005,
1986-07,0.006,
1986-08,0.006,
1986-09,0.014,
1986-10,0.014,
1986-11,0.012,
1986-12,0.012,
1987-01,0.012,
1987-02,0.012,
1987-03,0.010,
1987-04,0.009,
1987-05,0.010,
1987-06,0.010,
1987-07,0.012,
1987-08,0.011,
1987-09,0.011,
1987-10,0.009,
1987-11,0.009,
1987-12,0.010,
1988-01,0.013,
1988-02,0.024,
1988-03,0.024,
1988-04,0.024,
1988-05,0.024,
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,0.018,
1988-10,0.018,
1988-11,0.016,
1988-12,0.015,
1989-01,0.017,
1989-02,0.008,
1989-03,0.008,
1989-04,0.008,
1989-05,0.009,
1989-06,0.008,
1989-07,0.009,
1989-08,0.009,
1989-09,0.010,
1989-10,0.014,
1989-11,0.014,
1989-12,0.013,
1990-01,0.015,
1990-02,0.009,
1990-03,0.012,
1990-04,0.012,
1990-05,0.012,
1990-06,0.012,
1990-07,0.011,
1990-08,-,Nothing exists
