"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,0.238,0.238,0.240,0.240,0.240,0.240,0.238,0.238,0.238,0.238,0.238,0.238,0.249,0.249
1991-04,0.241,0.241,0.240,0.240,0.240,0.240,0.241,0.241,0.241,0.241,0.241,0.241,0.252,0.252
1991-07,0.243,0.243,0.240,0.240,0.240,0.240,0.243,0.243,0.243,0.243,0.243,0.243,0.254,0.254
1991-10,0.247,0.247,0.250,0.250,0.250,0.250,0.247,0.247,0.247,0.247,0.247,0.247,0.259,0.259
1992-01,0.254,0.254,0.250,0.250,0.250,0.250,0.254,0.254,0.254,0.254,0.254,0.254,0.266,0.266
1992-04,0.256,0.256,0.260,0.260,0.260,0.260,0.256,0.256,0.256,0.256,0.256,0.256,0.270,0.270
1992-07,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.260,0.273,0.273
1992-10,0.265,0.265,0.270,0.270,0.270,0.270,0.265,0.265,0.265,0.265,0.265,0.265,0.279,0.279
1993-01,0.271,0.271,0.270,0.270,0.270,0.270,0.271,0.271,0.271,0.271,0.271,0.271,0.284,0.284
1993-04,0.276,0.276,0.280,0.280,0.280,0.280,0.276,0.276,0.276,0.276,0.276,0.276,0.289,0.289
1993-07,0.279,0.279,0.280,0.280,0.280,0.280,0.279,0.279,0.279,0.279,0.279,0.279,0.294,0.294
1993-10,0.283,0.283,0.280,0.280,0.280,0.280,0.283,0.283,0.283,0.283,0.283,0.283,0.299,0.299
